complaint_id,date,complaint_text,department,sentiment,city,priority_level,resolution_days,is_repeat_complaint,submission_channel
CMP00096,2022-08-13,Traffic signal at main junction not working for days causing major accidents daily.,Transport,Negative,Hyderabad,4,40,0,phone
CMP00097,2023-08-17,Medicines not available at government dispensary for 30 weeks. Patients suffering badly.,Healthcare,Negative,Pune,3,9,0,app
CMP00098,2022-06-18,Entire road is waterlogged after rain due to blocked drains. Vehicles getting stuck daily.,Roads,Negative,Chennai,4,31,0,app
CMP00099,2023-11-24,School building roof leaking badly during rains. Children sitting in water. Dangerous.,Education,Neutral,Ahmedabad,2,36,0,online
CMP00100,2023-01-13,Toilet facility in school completely non-functional. Girl students leaving school early.,Education,Negative,Chennai,4,38,1,app
CMP00101,2023-10-26,Our colony has not received clean drinking water since 17 days. This is unacceptable.,Water,Negative,Mumbai,3,41,1,app
CMP00102,2022-11-08,Hospital building in very poor condition. Ceiling leaking on patients during rains.,Healthcare,Critical/Urgent,Kolkata,5,2,0,phone
CMP00103,2023-08-25,Auto rickshaws refusing short distance trips and overcharging passengers in our area.,Transport,Positive,Delhi,1,27,0,walk-in
CMP00104,2022-08-11,Illegal parking by trucks blocking entire road near market every morning.,Transport,Neutral,Kolkata,2,29,0,app
CMP00105,2022-10-10,Sewage water is mixing with drinking water supply causing serious health hazards.,Water,Neutral,Hyderabad,2,8,1,online
CMP00106,2022-09-07,Hospital staff behaving very rudely with poor patients. This is completely unacceptable.,Healthcare,Critical/Urgent,Delhi,5,10,0,online
CMP00107,2022-12-03,No drinking water available in government school. Children going thirsty all day.,Education,Neutral,Delhi,2,39,0,app
CMP00108,2022-04-23,Mid-day meal quality very poor. Children falling sick after eating food in school.,Education,Neutral,Bengaluru,2,9,0,app
CMP00109,2022-09-29,No drinking water available in government school. Children going thirsty all day.,Education,Neutral,Bengaluru,2,9,1,online
CMP00110,2023-06-10,Medicines not available at government dispensary for 17 weeks. Patients suffering badly.,Healthcare,Critical/Urgent,Mumbai,5,8,0,online
CMP00111,2023-03-13,No female doctor available at health center. Women patients feel extremely uncomfortable.,Healthcare,Negative,Mumbai,4,32,1,online
CMP00112,2022-10-09,Sewage water is mixing with drinking water supply causing serious health hazards.,Water,Critical/Urgent,Pune,5,7,0,walk-in
CMP00113,2023-04-08,Illegal parking by trucks blocking entire road near market every morning.,Transport,Negative,Hyderabad,4,27,0,walk-in
CMP00114,2022-11-17,Waste collection vehicle has not come for 25 days. Residents dumping on road.,Sanitation,Neutral,Chennai,2,24,0,walk-in
CMP00115,2022-04-09,The water coming from the tap is extremely dirty and has a foul smell. Children are falling sick.,Water,Neutral,Pune,2,9,0,app
CMP00116,2022-10-22,Medicines not available at government dispensary for 15 weeks. Patients suffering badly.,Healthcare,Negative,Chennai,3,23,0,phone
CMP00117,2022-10-13,Power fluctuation is destroying our appliances. This is causing huge financial loss to us.,Electricity,Negative,Hyderabad,3,28,0,app
CMP00118,2022-07-05,Water pipe has burst on Anna Salai and water is flooding the road. Immediate repair needed urgently.,Water,Negative,Delhi,3,37,1,online
CMP00119,2023-04-10,"Power cut in our area since 4 days. No electricity at all, we cannot survive in this heat.",Electricity,Neutral,Pune,2,11,0,app
CMP00120,2023-09-25,Vaccination camp cancelled without notice. Parents came with children from far areas.,Healthcare,Negative,Bengaluru,3,44,0,app
CMP00121,2022-08-09,Waste collection vehicle has not come for 17 days. Residents dumping on road.,Sanitation,Critical/Urgent,Mumbai,5,6,1,online
CMP00122,2023-02-09,Road markings completely faded. No lane discipline possible causing accidents.,Roads,Neutral,Bengaluru,2,1,0,app
CMP00123,2022-01-08,A transformer on Anna Salai exploded yesterday. Still not repaired. Very dangerous situation.,Electricity,Negative,Kolkata,3,28,0,phone
CMP00124,2022-02-13,Drainage blocked for weeks causing sewage overflow on streets near school.,Sanitation,Neutral,Ahmedabad,2,2,1,online
CMP00125,2023-12-28,Teacher absent without any substitute for 20 days. No learning happening for children.,Education,Critical/Urgent,Ahmedabad,5,5,0,walk-in
CMP00126,2023-03-24,Sewage water is mixing with drinking water supply causing serious health hazards.,Water,Negative,Mumbai,3,16,1,walk-in
CMP00127,2022-08-15,Bus conductor behaved very rudely with senior citizens and refused to give seat.,Transport,Neutral,Pune,2,11,0,online
CMP00128,2022-04-16,No bus shelter on main road stop. Commuters standing in rain and hot sun daily.,Transport,Negative,Delhi,3,17,0,phone
CMP00129,2023-04-21,Auto rickshaws refusing short distance trips and overcharging passengers in our area.,Transport,Positive,Kolkata,1,44,0,app
CMP00130,2023-08-29,Power fluctuation is destroying our appliances. This is causing huge financial loss to us.,Electricity,Negative,Bengaluru,4,23,0,app
CMP00131,2022-03-20,Sewage drain open near hospital is a major health hazard. Requires urgent sealing.,Sanitation,Critical/Urgent,Mumbai,5,10,1,walk-in
CMP00132,2023-05-29,Bus frequency on route 42A reduced drastically. Commuters waiting 16 hours daily.,Transport,Positive,Delhi,1,4,1,online
CMP00133,2022-02-10,Teacher absent without any substitute for 24 days. No learning happening for children.,Education,Neutral,Hyderabad,2,29,1,phone
CMP00134,2023-10-09,Road construction work started 11 months ago but still incomplete. Causing major traffic.,Roads,Negative,Pune,3,5,0,online
CMP00135,2022-03-25,Illegal parking by trucks blocking entire road near market every morning.,Transport,Negative,Delhi,4,23,0,walk-in
CMP00136,2023-11-18,Frequent power outages every day. This is affecting our business and daily life terribly.,Electricity,Negative,Mumbai,3,42,1,app
CMP00137,2022-07-16,Sewage water is mixing with drinking water supply causing serious health hazards.,Water,Negative,Hyderabad,4,9,0,online
CMP00138,2023-09-04,No road repair done after monsoon. Roads are completely broken and damaged beyond repair.,Roads,Negative,Ahmedabad,3,10,0,phone
CMP00139,2023-01-09,Mid-day meal quality very poor. Children falling sick after eating food in school.,Education,Critical/Urgent,Hyderabad,5,8,0,walk-in
CMP00140,2023-01-12,Electricity bill is extremely high this month despite less usage. Clear overcharging happening.,Electricity,Critical/Urgent,Kolkata,5,8,0,walk-in
CMP00141,2022-02-23,Illegal parking by trucks blocking entire road near market every morning.,Transport,Negative,Kolkata,4,24,0,online
CMP00142,2023-06-10,No road repair done after monsoon. Roads are completely broken and damaged beyond repair.,Roads,Neutral,Delhi,2,28,0,phone
CMP00143,2022-02-24,School admission process very corrupt. Poor families being asked for illegal donations.,Education,Critical/Urgent,Ahmedabad,5,9,0,phone
CMP00144,2022-04-12,Garbage dump near our society is overflowing. Rodents and mosquitoes breeding rapidly.,Sanitation,Critical/Urgent,Pune,5,3,0,online
CMP00145,2023-04-05,Road markings completely faded. No lane discipline possible causing accidents.,Roads,Neutral,Bengaluru,2,6,0,app
CMP00146,2022-11-05,A transformer on FC Road exploded yesterday. Still not repaired. Very dangerous situation.,Electricity,Negative,Mumbai,3,4,0,walk-in
CMP00147,2023-10-10,Long waiting queues at government hospital. Patients waiting since morning without help.,Healthcare,Negative,Hyderabad,3,10,0,walk-in
CMP00148,2022-03-11,Sewage water is mixing with drinking water supply causing serious health hazards.,Water,Negative,Bengaluru,4,25,1,online
CMP00149,2023-01-01,Hospital building in very poor condition. Ceiling leaking on patients during rains.,Healthcare,Critical/Urgent,Mumbai,5,6,0,online
CMP00150,2023-12-03,Teacher absent without any substitute for 6 days. No learning happening for children.,Education,Negative,Kolkata,3,45,1,phone
CMP00151,2022-02-14,Mid-day meal quality very poor. Children falling sick after eating food in school.,Education,Negative,Hyderabad,3,3,0,app
CMP00152,2023-10-25,Illegal parking by trucks blocking entire road near market every morning.,Transport,Neutral,Hyderabad,2,19,0,online
CMP00153,2023-02-14,Teacher absent without any substitute for 10 days. No learning happening for children.,Education,Negative,Kolkata,4,25,0,phone
CMP00154,2022-03-22,Sewage drain open near hospital is a major health hazard. Requires urgent sealing.,Sanitation,Negative,Ahmedabad,4,39,0,app
CMP00155,2023-04-02,No road repair done after monsoon. Roads are completely broken and damaged beyond repair.,Roads,Negative,Ahmedabad,4,11,1,app
CMP00156,2022-10-09,Garbage not collected for 25 days in our area. Foul smell everywhere. Health risk high.,Sanitation,Neutral,Bengaluru,2,5,1,app
CMP00157,2022-02-05,Auto rickshaws refusing short distance trips and overcharging passengers in our area.,Transport,Positive,Delhi,1,5,0,app
CMP00158,2023-11-27,Entire road is waterlogged after rain due to blocked drains. Vehicles getting stuck daily.,Roads,Neutral,Kolkata,2,24,0,walk-in
CMP00159,2022-11-18,School building roof leaking badly during rains. Children sitting in water. Dangerous.,Education,Negative,Chennai,4,16,0,online
CMP00160,2022-09-26,Ambulance took 17 hours to arrive for emergency call. Patient condition worsened.,Healthcare,Critical/Urgent,Chennai,5,8,0,app
CMP00161,2023-04-08,Long waiting queues at government hospital. Patients waiting since morning without help.,Healthcare,Critical/Urgent,Delhi,5,8,0,app
CMP00162,2022-11-04,Vaccination camp cancelled without notice. Parents came with children from far areas.,Healthcare,Critical/Urgent,Delhi,5,3,0,phone
CMP00163,2022-01-27,Our colony has not received clean drinking water since 27 days. This is unacceptable.,Water,Neutral,Pune,2,36,0,walk-in
CMP00164,2023-05-06,Mid-day meal quality very poor. Children falling sick after eating food in school.,Education,Negative,Ahmedabad,4,27,0,phone
CMP00165,2023-07-19,No road repair done after monsoon. Roads are completely broken and damaged beyond repair.,Roads,Negative,Delhi,3,9,1,online
CMP00166,2022-06-15,School building roof leaking badly during rains. Children sitting in water. Dangerous.,Education,Neutral,Pune,2,15,0,app
CMP00167,2023-10-03,School building roof leaking badly during rains. Children sitting in water. Dangerous.,Education,Negative,Chennai,3,40,0,phone
CMP00168,2022-01-30,Auto rickshaws refusing short distance trips and overcharging passengers in our area.,Transport,Neutral,Mumbai,2,3,0,phone
CMP00169,2023-05-10,Toilet facility in school completely non-functional. Girl students leaving school early.,Education,Negative,Hyderabad,4,44,1,app
CMP00170,2023-03-02,Garbage dump near our society is overflowing. Rodents and mosquitoes breeding rapidly.,Sanitation,Neutral,Kolkata,2,30,0,app
CMP00171,2023-02-13,Auto rickshaws refusing short distance trips and overcharging passengers in our area.,Transport,Neutral,Delhi,2,24,0,app
CMP00172,2022-05-25,Power fluctuation is destroying our appliances. This is causing huge financial loss to us.,Electricity,Critical/Urgent,Mumbai,5,1,0,walk-in
CMP00173,2022-07-14,Toilet facility in school completely non-functional. Girl students leaving school early.,Education,Negative,Delhi,4,32,1,walk-in
CMP00174,2022-09-04,Road markings completely faded. No lane discipline possible causing accidents.,Roads,Neutral,Hyderabad,2,38,0,online
CMP00175,2023-03-18,Water pressure is very low in our building. Third floor gets no water at all.,Water,Negative,Delhi,3,17,0,walk-in
CMP00176,2023-01-07,Road on MG Road has huge potholes for months. Two-wheeler accidents happening daily.,Roads,Neutral,Chennai,2,5,1,walk-in
CMP00177,2023-01-18,School has not received textbooks yet. Academic year already 28 months in progress.,Education,Negative,Pune,4,36,0,phone
CMP00178,2022-12-08,No electricity for 18 hours during peak summer. Elderly patients are in critical condition.,Electricity,Negative,Kolkata,3,34,1,phone
CMP00179,2023-09-24,Auto rickshaws refusing short distance trips and overcharging passengers in our area.,Transport,Positive,Chennai,1,38,0,walk-in
CMP00180,2023-11-21,No female doctor available at health center. Women patients feel extremely uncomfortable.,Healthcare,Critical/Urgent,Mumbai,5,7,0,online
CMP00181,2023-08-21,Traffic signal at main junction not working for days causing major accidents daily.,Transport,Neutral,Kolkata,2,11,1,phone
CMP00182,2022-11-18,No drinking water available in government school. Children going thirsty all day.,Education,Negative,Ahmedabad,4,10,1,phone
CMP00183,2023-07-29,Sewage drain open near hospital is a major health hazard. Requires urgent sealing.,Sanitation,Negative,Pune,3,43,1,walk-in
CMP00184,2023-09-17,The footpath on main road is encroached by shops. Pedestrians are forced to walk on road.,Roads,Negative,Kolkata,4,13,0,app
CMP00185,2023-12-23,Bus driver overspeeding dangerously. Narrowly missed accident with school children today.,Transport,Neutral,Hyderabad,2,45,1,app
CMP00186,2023-02-09,Open defecation happening near children playground due to no public toilet facility.,Sanitation,Negative,Pune,4,10,0,online
CMP00187,2022-08-08,No road repair done after monsoon. Roads are completely broken and damaged beyond repair.,Roads,Negative,Hyderabad,4,35,0,app
CMP00188,2023-10-16,Frequent power outages every day. This is affecting our business and daily life terribly.,Electricity,Negative,Hyderabad,3,4,0,walk-in
CMP00189,2023-02-21,Road markings completely faded. No lane discipline possible causing accidents.,Roads,Neutral,Kolkata,2,31,0,app
CMP00190,2023-07-02,Speed breakers on MG Road are unmarked and causing serious accidents at night.,Roads,Negative,Bengaluru,3,12,1,phone
CMP00191,2022-01-10,The water tank in our area overflows daily wasting thousands of litres. Nobody is fixing it.,Water,Negative,Chennai,3,37,0,app
CMP00192,2022-10-07,Road markings completely faded. No lane discipline possible causing accidents.,Roads,Neutral,Hyderabad,2,8,0,phone
CMP00193,2022-12-12,Long waiting queues at government hospital. Patients waiting since morning without help.,Healthcare,Negative,Chennai,3,37,0,phone
CMP00194,2022-03-30,Illegal parking by trucks blocking entire road near market every morning.,Transport,Neutral,Ahmedabad,2,43,0,phone
CMP00195,2022-08-30,Power fluctuation is destroying our appliances. This is causing huge financial loss to us.,Electricity,Negative,Kolkata,4,18,0,app
CMP00196,2023-11-15,Bus frequency on route 303 reduced drastically. Commuters waiting 10 hours daily.,Transport,Negative,Mumbai,3,30,0,phone
CMP00197,2023-01-12,Stray dogs attacking residents due to uncollected garbage attracting them near homes.,Sanitation,Critical/Urgent,Hyderabad,5,4,0,walk-in
CMP00198,2023-07-05,Power fluctuation is destroying our appliances. This is causing huge financial loss to us.,Electricity,Neutral,Hyderabad,2,16,0,walk-in
CMP00199,2022-06-18,Metro station lift not working for 4 weeks. Elderly and disabled unable to use.,Transport,Negative,Pune,3,34,1,online
CMP00200,2023-04-10,Hospital staff behaving very rudely with poor patients. This is completely unacceptable.,Healthcare,Negative,Delhi,3,33,1,walk-in
CMP00201,2022-01-23,Bus frequency on route 303 reduced drastically. Commuters waiting 19 hours daily.,Transport,Neutral,Ahmedabad,2,17,0,phone
CMP00202,2023-07-09,Bus conductor behaved very rudely with senior citizens and refused to give seat.,Transport,Neutral,Bengaluru,2,5,1,online
CMP00203,2023-01-19,Entire road is waterlogged after rain due to blocked drains. Vehicles getting stuck daily.,Roads,Neutral,Ahmedabad,2,29,1,walk-in
CMP00204,2023-07-05,Water pipe has burst on Park Street and water is flooding the road. Immediate repair needed urgently.,Water,Critical/Urgent,Ahmedabad,5,9,0,phone
CMP00205,2023-11-21,Government school has no teachers for 26 months. Children sitting idle in class.,Education,Critical/Urgent,Ahmedabad,5,9,1,phone
CMP00206,2022-04-26,Power fluctuation is destroying our appliances. This is causing huge financial loss to us.,Electricity,Critical/Urgent,Bengaluru,5,7,0,phone
CMP00207,2022-02-15,Frequent power outages every day. This is affecting our business and daily life terribly.,Electricity,Negative,Ahmedabad,3,29,0,phone
CMP00208,2022-08-31,Government school has no teachers for 6 months. Children sitting idle in class.,Education,Negative,Chennai,4,10,0,walk-in
CMP00209,2023-07-24,Speed breakers on Hosur Road are unmarked and causing serious accidents at night.,Roads,Neutral,Kolkata,2,4,0,walk-in
CMP00210,2022-11-04,Teacher absent without any substitute for 24 days. No learning happening for children.,Education,Neutral,Ahmedabad,2,12,1,phone
