complaint_id,date,complaint_text,department,sentiment,city,priority_level,resolution_days,is_repeat_complaint,submission_channel,cleaned_text,processed_text,lemmatized_text,token_count,has_urgent_word,exclamation_count
CMP00011,2023-01-26,A transformer on FC Road exploded yesterday. Still not repaired. Very dangerous situation.,Electricity,Negative,Kolkata,4,34,0,online,a transformer on fc road exploded yesterday still not repaired very dangerous situation,transformer fc road exploded yesterday still not repaired dangerous situation,transformer fc road exploded yesterday still not repaired dangerous situation,13,1,0
CMP00012,2022-04-25,Medicines not available at government dispensary for 23 weeks. Patients suffering badly.,Healthcare,Critical/Urgent,Chennai,5,7,0,walk-in,medicines not available at government dispensary for weeks patients suffering badly,medicines not available government dispensary weeks patients suffering badly,medicine not available government dispensary week patient suffering badly,11,0,0
CMP00013,2023-10-17,Water pressure is very low in our building. Third floor gets no water at all.,Water,Negative,Hyderabad,4,10,0,phone,water pressure is very low in our building third floor gets no water at all,water pressure low building third floor gets no water,water pressure low building third floor get no water,15,0,0
CMP00014,2022-04-25,Bus frequency on route 15C reduced drastically. Commuters waiting 21 hours daily.,Transport,Neutral,Pune,2,20,0,online,bus frequency on route c reduced drastically commuters waiting hours daily,bus frequency route c reduced drastically commuters waiting hours daily,bus frequency route c reduced drastically commuter waiting hour daily,11,0,0
CMP00015,2022-05-12,Frequent power outages every day. This is affecting our business and daily life terribly.,Electricity,Negative,Kolkata,3,36,0,app,frequent power outages every day this is affecting our business and daily life terribly,frequent power outages every day affecting business daily life terribly,frequent power outage every day affecting business daily life terribly,14,0,0
CMP00016,2023-02-13,Illegal parking by trucks blocking entire road near market every morning.,Transport,Neutral,Pune,2,29,1,online,illegal parking by trucks blocking entire road near market every morning,illegal parking trucks blocking entire road near market every morning,illegal parking truck blocking entire road near market every morning,11,0,0
CMP00017,2023-08-26,Electricity bill is extremely high this month despite less usage. Clear overcharging happening.,Electricity,Critical/Urgent,Hyderabad,5,1,0,online,electricity bill is extremely high this month despite less usage clear overcharging happening,electricity bill extremely high month despite less usage clear overcharging happening,electricity bill extremely high month despite less usage clear overcharging happening,13,0,0
CMP00018,2023-06-11,Frequent power outages every day. This is affecting our business and daily life terribly.,Electricity,Negative,Hyderabad,3,18,1,phone,frequent power outages every day this is affecting our business and daily life terribly,frequent power outages every day affecting business daily life terribly,frequent power outage every day affecting business daily life terribly,14,0,0
CMP00019,2023-02-21,Auto rickshaws refusing short distance trips and overcharging passengers in our area.,Transport,Positive,Hyderabad,1,7,0,walk-in,auto rickshaws refusing short distance trips and overcharging passengers in our area,auto rickshaws refusing short distance trips overcharging passengers area,auto rickshaw refusing short distance trip overcharging passenger area,12,0,0
CMP00020,2022-03-04,Entire road is waterlogged after rain due to blocked drains. Vehicles getting stuck daily.,Roads,Negative,Ahmedabad,3,22,0,phone,entire road is waterlogged after rain due to blocked drains vehicles getting stuck daily,entire road waterlogged rain due blocked drains vehicles getting stuck daily,entire road waterlogged rain due blocked drain vehicle getting stuck daily,14,0,0
CMP00021,2022-07-07,Electricity bill is extremely high this month despite less usage. Clear overcharging happening.,Electricity,Neutral,Chennai,2,30,0,online,electricity bill is extremely high this month despite less usage clear overcharging happening,electricity bill extremely high month despite less usage clear overcharging happening,electricity bill extremely high month despite less usage clear overcharging happening,13,0,0
CMP00022,2023-02-21,Garbage dump near our society is overflowing. Rodents and mosquitoes breeding rapidly.,Sanitation,Negative,Kolkata,3,31,0,walk-in,garbage dump near our society is overflowing rodents and mosquitoes breeding rapidly,garbage dump near society overflowing rodents mosquitoes breeding rapidly,garbage dump near society overflowing rodent mosquito breeding rapidly,12,0,0
CMP00023,2022-10-20,Water pipe has burst on MG Road and water is flooding the road. Immediate repair needed urgently.,Water,Negative,Ahmedabad,4,45,1,phone,water pipe has burst on mg road and water is flooding the road immediate repair needed urgently,water pipe burst mg road water flooding road immediate repair needed urgently,water pipe burst mg road water flooding road immediate repair needed urgently,17,1,0
CMP00024,2022-02-28,Street lights are not working for weeks. Area is completely dark and robbery risk is high.,Electricity,Negative,Bengaluru,4,38,1,phone,street lights are not working for weeks area is completely dark and robbery risk is high,street lights not working weeks area completely dark robbery risk high,street light not working week area completely dark robbery risk high,16,0,0
CMP00025,2023-02-18,The water coming from the tap is extremely dirty and has a foul smell. Children are falling sick.,Water,Negative,Mumbai,3,37,0,online,the water coming from the tap is extremely dirty and has a foul smell children are falling sick,water coming tap extremely dirty foul smell children falling sick,water coming tap extremely dirty foul smell child falling sick,18,0,0
CMP00026,2022-09-02,Bus conductor behaved very rudely with senior citizens and refused to give seat.,Transport,Negative,Chennai,4,26,0,app,bus conductor behaved very rudely with senior citizens and refused to give seat,bus conductor behaved rudely senior citizens refused give seat,bus conductor behaved rudely senior citizen refused give seat,13,0,0
CMP00027,2023-09-29,Open defecation happening near children playground due to no public toilet facility.,Sanitation,Neutral,Mumbai,2,5,0,app,open defecation happening near children playground due to no public toilet facility,open defecation happening near children playground due no public toilet facility,open defecation happening near child playground due no public toilet facility,12,0,0
CMP00028,2022-06-11,Live wire is hanging dangerously on the road. Children are playing nearby. Very urgent!,Electricity,Negative,Kolkata,4,35,0,online,live wire is hanging dangerously on the road children are playing nearby very urgent,live wire hanging dangerously road children playing nearby urgent,live wire hanging dangerously road child playing nearby urgent,14,1,1
CMP00029,2022-04-29,No female doctor available at health center. Women patients feel extremely uncomfortable.,Healthcare,Critical/Urgent,Mumbai,5,9,0,app,no female doctor available at health center women patients feel extremely uncomfortable,no female doctor available health center women patients feel extremely uncomfortable,no female doctor available health center woman patient feel extremely uncomfortable,12,0,0
CMP00030,2022-09-15,Road cave-in near school gate is very dangerous for children. Needs immediate attention.,Roads,Negative,Bengaluru,4,6,1,app,road cave in near school gate is very dangerous for children needs immediate attention,road cave near school gate dangerous children needs immediate attention,road cave near school gate dangerous child need immediate attention,14,1,0
CMP00031,2023-03-29,There is no water supply in our area for the past 12 days. Residents are suffering badly.,Water,Negative,Ahmedabad,3,36,0,online,there is no water supply in our area for the past days residents are suffering badly,no water supply area past days residents suffering badly,no water supply area past day resident suffering badly,16,0,0
CMP00032,2023-03-17,Water pipe has burst on MG Road and water is flooding the road. Immediate repair needed urgently.,Water,Negative,Delhi,3,3,0,app,water pipe has burst on mg road and water is flooding the road immediate repair needed urgently,water pipe burst mg road water flooding road immediate repair needed urgently,water pipe burst mg road water flooding road immediate repair needed urgently,17,1,0
CMP00033,2023-11-14,Government school has no teachers for 30 months. Children sitting idle in class.,Education,Neutral,Mumbai,2,23,1,phone,government school has no teachers for months children sitting idle in class,government school no teachers months children sitting idle class,government school no teacher month child sitting idle class,12,0,0
CMP00034,2022-12-07,A transformer on Hosur Road exploded yesterday. Still not repaired. Very dangerous situation.,Electricity,Negative,Ahmedabad,3,43,0,app,a transformer on hosur road exploded yesterday still not repaired very dangerous situation,transformer hosur road exploded yesterday still not repaired dangerous situation,transformer hosur road exploded yesterday still not repaired dangerous situation,13,1,0
CMP00035,2022-08-16,Frequent power outages every day. This is affecting our business and daily life terribly.,Electricity,Neutral,Hyderabad,2,30,0,app,frequent power outages every day this is affecting our business and daily life terribly,frequent power outages every day affecting business daily life terribly,frequent power outage every day affecting business daily life terribly,14,0,0
CMP00036,2023-02-13,No drinking water available in government school. Children going thirsty all day.,Education,Neutral,Pune,2,18,0,app,no drinking water available in government school children going thirsty all day,no drinking water available government school children going thirsty day,no drinking water available government school child going thirsty day,12,0,0
CMP00037,2022-07-02,Entire road is waterlogged after rain due to blocked drains. Vehicles getting stuck daily.,Roads,Negative,Chennai,4,3,0,walk-in,entire road is waterlogged after rain due to blocked drains vehicles getting stuck daily,entire road waterlogged rain due blocked drains vehicles getting stuck daily,entire road waterlogged rain due blocked drain vehicle getting stuck daily,14,0,0
CMP00038,2022-09-18,Road construction work started 15 months ago but still incomplete. Causing major traffic.,Roads,Neutral,Bengaluru,2,28,0,phone,road construction work started months ago but still incomplete causing major traffic,road construction work started months ago still incomplete causing major traffic,road construction work started month ago still incomplete causing major traffic,12,0,0
CMP00039,2022-11-04,Entire road is waterlogged after rain due to blocked drains. Vehicles getting stuck daily.,Roads,Negative,Chennai,3,43,1,app,entire road is waterlogged after rain due to blocked drains vehicles getting stuck daily,entire road waterlogged rain due blocked drains vehicles getting stuck daily,entire road waterlogged rain due blocked drain vehicle getting stuck daily,14,0,0
CMP00040,2023-11-12,Stray dogs attacking residents due to uncollected garbage attracting them near homes.,Sanitation,Neutral,Ahmedabad,2,44,0,app,stray dogs attacking residents due to uncollected garbage attracting them near homes,stray dogs attacking residents due uncollected garbage attracting near homes,stray dog attacking resident due uncollected garbage attracting near home,12,0,0
CMP00041,2023-08-17,Garbage not collected for 11 days in our area. Foul smell everywhere. Health risk high.,Sanitation,Neutral,Pune,2,30,1,walk-in,garbage not collected for days in our area foul smell everywhere health risk high,garbage not collected days area foul smell everywhere health risk high,garbage not collected day area foul smell everywhere health risk high,14,0,0
CMP00042,2022-10-18,Hospital staff behaving very rudely with poor patients. This is completely unacceptable.,Healthcare,Negative,Pune,3,6,0,app,hospital staff behaving very rudely with poor patients this is completely unacceptable,hospital staff behaving rudely poor patients completely unacceptable,hospital staff behaving rudely poor patient completely unacceptable,12,0,0
CMP00043,2023-05-02,Electricity bill is extremely high this month despite less usage. Clear overcharging happening.,Electricity,Critical/Urgent,Mumbai,5,8,1,phone,electricity bill is extremely high this month despite less usage clear overcharging happening,electricity bill extremely high month despite less usage clear overcharging happening,electricity bill extremely high month despite less usage clear overcharging happening,13,0,0
CMP00044,2022-04-20,Hospital building in very poor condition. Ceiling leaking on patients during rains.,Healthcare,Negative,Ahmedabad,3,15,0,walk-in,hospital building in very poor condition ceiling leaking on patients during rains,hospital building poor condition ceiling leaking patients rains,hospital building poor condition ceiling leaking patient rain,12,0,0
CMP00045,2023-04-21,Our colony has not received clean drinking water since 29 days. This is unacceptable.,Water,Critical/Urgent,Pune,5,8,1,walk-in,our colony has not received clean drinking water since days this is unacceptable,colony not received clean drinking water since days unacceptable,colony not received clean drinking water since day unacceptable,13,0,0
CMP00046,2023-10-15,Power fluctuation is destroying our appliances. This is causing huge financial loss to us.,Electricity,Critical/Urgent,Chennai,5,9,1,phone,power fluctuation is destroying our appliances this is causing huge financial loss to us,power fluctuation destroying appliances causing huge financial loss us,power fluctuation destroying appliance causing huge financial loss u,14,0,0
CMP00047,2022-11-24,Road markings completely faded. No lane discipline possible causing accidents.,Roads,Negative,Mumbai,4,9,0,phone,road markings completely faded no lane discipline possible causing accidents,road markings completely faded no lane discipline possible causing accidents,road marking completely faded no lane discipline possible causing accident,10,0,0
CMP00048,2023-02-22,Public toilet near our area is extremely dirty and not maintained. Spreading disease.,Sanitation,Neutral,Pune,2,35,1,walk-in,public toilet near our area is extremely dirty and not maintained spreading disease,public toilet near area extremely dirty not maintained spreading disease,public toilet near area extremely dirty not maintained spreading disease,13,0,0
CMP00049,2023-05-04,Our colony has not received clean drinking water since 28 days. This is unacceptable.,Water,Negative,Bengaluru,4,23,0,walk-in,our colony has not received clean drinking water since days this is unacceptable,colony not received clean drinking water since days unacceptable,colony not received clean drinking water since day unacceptable,13,0,0
CMP00050,2022-10-07,Toilet facility in school completely non-functional. Girl students leaving school early.,Education,Neutral,Ahmedabad,2,32,0,walk-in,toilet facility in school completely non functional girl students leaving school early,toilet facility school completely non functional girl students leaving school early,toilet facility school completely non functional girl student leaving school early,12,0,0
CMP00051,2022-05-11,Entire road is waterlogged after rain due to blocked drains. Vehicles getting stuck daily.,Roads,Neutral,Bengaluru,2,26,0,online,entire road is waterlogged after rain due to blocked drains vehicles getting stuck daily,entire road waterlogged rain due blocked drains vehicles getting stuck daily,entire road waterlogged rain due blocked drain vehicle getting stuck daily,14,0,0
CMP00052,2022-09-24,Hospital building in very poor condition. Ceiling leaking on patients during rains.,Healthcare,Critical/Urgent,Ahmedabad,5,6,0,walk-in,hospital building in very poor condition ceiling leaking on patients during rains,hospital building poor condition ceiling leaking patients rains,hospital building poor condition ceiling leaking patient rain,12,0,0
CMP00053,2022-09-16,Road construction work started 26 months ago but still incomplete. Causing major traffic.,Roads,Neutral,Mumbai,2,31,0,online,road construction work started months ago but still incomplete causing major traffic,road construction work started months ago still incomplete causing major traffic,road construction work started month ago still incomplete causing major traffic,12,0,0
CMP00054,2022-09-11,Road cave-in near school gate is very dangerous for children. Needs immediate attention.,Roads,Negative,Hyderabad,3,2,0,phone,road cave in near school gate is very dangerous for children needs immediate attention,road cave near school gate dangerous children needs immediate attention,road cave near school gate dangerous child need immediate attention,14,1,0
CMP00055,2023-04-22,Power fluctuation is destroying our appliances. This is causing huge financial loss to us.,Electricity,Critical/Urgent,Chennai,5,6,0,online,power fluctuation is destroying our appliances this is causing huge financial loss to us,power fluctuation destroying appliances causing huge financial loss us,power fluctuation destroying appliance causing huge financial loss u,14,0,0
CMP00056,2023-08-13,Mid-day meal quality very poor. Children falling sick after eating food in school.,Education,Negative,Ahmedabad,4,26,0,online,mid day meal quality very poor children falling sick after eating food in school,mid day meal quality poor children falling sick eating food school,mid day meal quality poor child falling sick eating food school,14,0,0
CMP00057,2023-08-03,No bus shelter on main road stop. Commuters standing in rain and hot sun daily.,Transport,Neutral,Bengaluru,2,23,1,app,no bus shelter on main road stop commuters standing in rain and hot sun daily,no bus shelter main road stop commuters standing rain hot sun daily,no bus shelter main road stop commuter standing rain hot sun daily,15,0,0
CMP00058,2022-04-19,Sewage water is mixing with drinking water supply causing serious health hazards.,Water,Neutral,Ahmedabad,2,24,1,phone,sewage water is mixing with drinking water supply causing serious health hazards,sewage water mixing drinking water supply causing serious health hazards,sewage water mixing drinking water supply causing serious health hazard,12,0,0
CMP00059,2023-04-22,Public toilet near our area is extremely dirty and not maintained. Spreading disease.,Sanitation,Neutral,Ahmedabad,2,38,0,app,public toilet near our area is extremely dirty and not maintained spreading disease,public toilet near area extremely dirty not maintained spreading disease,public toilet near area extremely dirty not maintained spreading disease,13,0,0
CMP00060,2022-09-07,No drinking water available in government school. Children going thirsty all day.,Education,Critical/Urgent,Kolkata,5,10,1,app,no drinking water available in government school children going thirsty all day,no drinking water available government school children going thirsty day,no drinking water available government school child going thirsty day,12,0,0
CMP00061,2022-08-06,We have been submitting water shortage complaints for months but no action has been taken.,Water,Neutral,Pune,2,17,0,app,we have been submitting water shortage complaints for months but no action has been taken,submitting water shortage complaints months no action taken,submitting water shortage complaint month no action taken,15,0,0
CMP00062,2022-09-05,Bus driver overspeeding dangerously. Narrowly missed accident with school children today.,Transport,Negative,Ahmedabad,3,32,0,walk-in,bus driver overspeeding dangerously narrowly missed accident with school children today,bus driver overspeeding dangerously narrowly missed accident school children today,bus driver overspeeding dangerously narrowly missed accident school child today,11,1,0
CMP00063,2022-08-15,Long waiting queues at government hospital. Patients waiting since morning without help.,Healthcare,Critical/Urgent,Ahmedabad,5,4,0,app,long waiting queues at government hospital patients waiting since morning without help,long waiting queues government hospital patients waiting since morning without help,long waiting queue government hospital patient waiting since morning without help,12,0,0
CMP00064,2022-10-05,Open defecation happening near children playground due to no public toilet facility.,Sanitation,Neutral,Chennai,2,17,0,online,open defecation happening near children playground due to no public toilet facility,open defecation happening near children playground due no public toilet facility,open defecation happening near child playground due no public toilet facility,12,0,0
CMP00065,2022-08-10,Hospital staff behaving very rudely with poor patients. This is completely unacceptable.,Healthcare,Negative,Kolkata,3,18,0,online,hospital staff behaving very rudely with poor patients this is completely unacceptable,hospital staff behaving rudely poor patients completely unacceptable,hospital staff behaving rudely poor patient completely unacceptable,12,0,0
CMP00066,2022-11-06,No drinking water available in government school. Children going thirsty all day.,Education,Neutral,Bengaluru,2,35,0,app,no drinking water available in government school children going thirsty all day,no drinking water available government school children going thirsty day,no drinking water available government school child going thirsty day,12,0,0
CMP00067,2023-10-16,There is no water supply in our area for the past 19 days. Residents are suffering badly.,Water,Critical/Urgent,Kolkata,5,2,0,app,there is no water supply in our area for the past days residents are suffering badly,no water supply area past days residents suffering badly,no water supply area past day resident suffering badly,16,0,0
CMP00068,2023-05-05,Sewage drain open near hospital is a major health hazard. Requires urgent sealing.,Sanitation,Negative,Mumbai,4,5,1,walk-in,sewage drain open near hospital is a major health hazard requires urgent sealing,sewage drain open near hospital major health hazard requires urgent sealing,sewage drain open near hospital major health hazard requires urgent sealing,13,1,0
CMP00069,2022-09-12,There is no water supply in our area for the past 6 days. Residents are suffering badly.,Water,Negative,Mumbai,3,36,1,phone,there is no water supply in our area for the past days residents are suffering badly,no water supply area past days residents suffering badly,no water supply area past day resident suffering badly,16,0,0
CMP00070,2022-11-09,Toilet facility in school completely non-functional. Girl students leaving school early.,Education,Critical/Urgent,Bengaluru,5,10,0,phone,toilet facility in school completely non functional girl students leaving school early,toilet facility school completely non functional girl students leaving school early,toilet facility school completely non functional girl student leaving school early,12,0,0
CMP00071,2023-07-20,Hospital staff behaving very rudely with poor patients. This is completely unacceptable.,Healthcare,Negative,Mumbai,3,11,0,walk-in,hospital staff behaving very rudely with poor patients this is completely unacceptable,hospital staff behaving rudely poor patients completely unacceptable,hospital staff behaving rudely poor patient completely unacceptable,12,0,0
CMP00072,2023-12-25,Sewage drain open near hospital is a major health hazard. Requires urgent sealing.,Sanitation,Critical/Urgent,Chennai,5,8,0,phone,sewage drain open near hospital is a major health hazard requires urgent sealing,sewage drain open near hospital major health hazard requires urgent sealing,sewage drain open near hospital major health hazard requires urgent sealing,13,1,0
CMP00073,2023-10-26,Road cave-in near school gate is very dangerous for children. Needs immediate attention.,Roads,Neutral,Delhi,2,18,0,online,road cave in near school gate is very dangerous for children needs immediate attention,road cave near school gate dangerous children needs immediate attention,road cave near school gate dangerous child need immediate attention,14,1,0
CMP00074,2022-05-08,Water pipe has burst on Anna Salai and water is flooding the road. Immediate repair needed urgently.,Water,Negative,Kolkata,4,45,0,walk-in,water pipe has burst on anna salai and water is flooding the road immediate repair needed urgently,water pipe burst anna salai water flooding road immediate repair needed urgently,water pipe burst anna salai water flooding road immediate repair needed urgently,17,1,0
CMP00075,2022-11-27,Road markings completely faded. No lane discipline possible causing accidents.,Roads,Negative,Chennai,4,2,0,phone,road markings completely faded no lane discipline possible causing accidents,road markings completely faded no lane discipline possible causing accidents,road marking completely faded no lane discipline possible causing accident,10,0,0
CMP00076,2022-06-29,Government hospital has no doctors available on most days. Patients turned away.,Healthcare,Critical/Urgent,Kolkata,5,9,1,app,government hospital has no doctors available on most days patients turned away,government hospital no doctors available days patients turned away,government hospital no doctor available day patient turned away,12,0,0
CMP00077,2022-12-23,No electricity for 22 hours during peak summer. Elderly patients are in critical condition.,Electricity,Neutral,Ahmedabad,2,22,0,online,no electricity for hours during peak summer elderly patients are in critical condition,no electricity hours peak summer elderly patients critical condition,no electricity hour peak summer elderly patient critical condition,13,1,0
CMP00078,2022-10-23,Mid-day meal quality very poor. Children falling sick after eating food in school.,Education,Critical/Urgent,Ahmedabad,5,9,0,walk-in,mid day meal quality very poor children falling sick after eating food in school,mid day meal quality poor children falling sick eating food school,mid day meal quality poor child falling sick eating food school,14,0,0
CMP00079,2023-06-11,Sewage water is mixing with drinking water supply causing serious health hazards.,Water,Neutral,Bengaluru,2,43,1,walk-in,sewage water is mixing with drinking water supply causing serious health hazards,sewage water mixing drinking water supply causing serious health hazards,sewage water mixing drinking water supply causing serious health hazard,12,0,0
CMP00080,2023-10-03,Our colony has not received clean drinking water since 18 days. This is unacceptable.,Water,Neutral,Kolkata,2,4,0,app,our colony has not received clean drinking water since days this is unacceptable,colony not received clean drinking water since days unacceptable,colony not received clean drinking water since day unacceptable,13,0,0
CMP00081,2022-05-05,Auto rickshaws refusing short distance trips and overcharging passengers in our area.,Transport,Positive,Bengaluru,1,41,0,phone,auto rickshaws refusing short distance trips and overcharging passengers in our area,auto rickshaws refusing short distance trips overcharging passengers area,auto rickshaw refusing short distance trip overcharging passenger area,12,0,0
CMP00082,2022-04-27,Road on FC Road has huge potholes for months. Two-wheeler accidents happening daily.,Roads,Neutral,Kolkata,2,8,0,walk-in,road on fc road has huge potholes for months two wheeler accidents happening daily,road fc road huge potholes months two wheeler accidents happening daily,road fc road huge pothole month two wheeler accident happening daily,14,0,0
CMP00083,2022-09-07,No female doctor available at health center. Women patients feel extremely uncomfortable.,Healthcare,Negative,Kolkata,4,36,0,walk-in,no female doctor available at health center women patients feel extremely uncomfortable,no female doctor available health center women patients feel extremely uncomfortable,no female doctor available health center woman patient feel extremely uncomfortable,12,0,0
CMP00084,2022-12-15,A transformer on Brigade Road exploded yesterday. Still not repaired. Very dangerous situation.,Electricity,Neutral,Chennai,2,1,0,app,a transformer on brigade road exploded yesterday still not repaired very dangerous situation,transformer brigade road exploded yesterday still not repaired dangerous situation,transformer brigade road exploded yesterday still not repaired dangerous situation,13,1,0
CMP00085,2022-12-20,School admission process very corrupt. Poor families being asked for illegal donations.,Education,Critical/Urgent,Pune,5,9,1,walk-in,school admission process very corrupt poor families being asked for illegal donations,school admission process corrupt poor families asked illegal donations,school admission process corrupt poor family asked illegal donation,12,0,0
CMP00086,2022-08-28,Road cave-in near school gate is very dangerous for children. Needs immediate attention.,Roads,Neutral,Ahmedabad,2,3,0,walk-in,road cave in near school gate is very dangerous for children needs immediate attention,road cave near school gate dangerous children needs immediate attention,road cave near school gate dangerous child need immediate attention,14,1,0
CMP00087,2022-05-10,Hospital building in very poor condition. Ceiling leaking on patients during rains.,Healthcare,Critical/Urgent,Pune,5,2,1,online,hospital building in very poor condition ceiling leaking on patients during rains,hospital building poor condition ceiling leaking patients rains,hospital building poor condition ceiling leaking patient rain,12,0,0
CMP00088,2023-04-26,Traffic signal at main junction not working for days causing major accidents daily.,Transport,Negative,Chennai,3,22,1,online,traffic signal at main junction not working for days causing major accidents daily,traffic signal main junction not working days causing major accidents daily,traffic signal main junction not working day causing major accident daily,13,0,0
CMP00089,2023-07-09,Teacher absent without any substitute for 29 days. No learning happening for children.,Education,Critical/Urgent,Bengaluru,5,10,0,phone,teacher absent without any substitute for days no learning happening for children,teacher absent without substitute days no learning happening children,teacher absent without substitute day no learning happening child,12,0,0
CMP00090,2023-10-11,No female doctor available at health center. Women patients feel extremely uncomfortable.,Healthcare,Critical/Urgent,Mumbai,5,8,0,app,no female doctor available at health center women patients feel extremely uncomfortable,no female doctor available health center women patients feel extremely uncomfortable,no female doctor available health center woman patient feel extremely uncomfortable,12,0,0
CMP00091,2023-03-18,There is no water supply in our area for the past 12 days. Residents are suffering badly.,Water,Negative,Delhi,4,16,1,phone,there is no water supply in our area for the past days residents are suffering badly,no water supply area past days residents suffering badly,no water supply area past day resident suffering badly,16,0,0
CMP00092,2023-05-25,A transformer on FC Road exploded yesterday. Still not repaired. Very dangerous situation.,Electricity,Critical/Urgent,Delhi,5,4,1,app,a transformer on fc road exploded yesterday still not repaired very dangerous situation,transformer fc road exploded yesterday still not repaired dangerous situation,transformer fc road exploded yesterday still not repaired dangerous situation,13,1,0
CMP00093,2022-10-22,Stray dogs attacking residents due to uncollected garbage attracting them near homes.,Sanitation,Neutral,Delhi,2,5,1,app,stray dogs attacking residents due to uncollected garbage attracting them near homes,stray dogs attacking residents due uncollected garbage attracting near homes,stray dog attacking resident due uncollected garbage attracting near home,12,0,0
CMP00094,2023-04-13,Bus driver overspeeding dangerously. Narrowly missed accident with school children today.,Transport,Neutral,Chennai,2,13,1,walk-in,bus driver overspeeding dangerously narrowly missed accident with school children today,bus driver overspeeding dangerously narrowly missed accident school children today,bus driver overspeeding dangerously narrowly missed accident school child today,11,1,0
CMP00095,2022-01-23,Our colony has not received clean drinking water since 14 days. This is unacceptable.,Water,Negative,Ahmedabad,4,18,0,online,our colony has not received clean drinking water since days this is unacceptable,colony not received clean drinking water since days unacceptable,colony not received clean drinking water since day unacceptable,13,0,0
CMP00096,2022-08-13,Traffic signal at main junction not working for days causing major accidents daily.,Transport,Negative,Hyderabad,4,40,0,phone,traffic signal at main junction not working for days causing major accidents daily,traffic signal main junction not working days causing major accidents daily,traffic signal main junction not working day causing major accident daily,13,0,0
CMP00097,2023-08-17,Medicines not available at government dispensary for 30 weeks. Patients suffering badly.,Healthcare,Negative,Pune,3,9,0,app,medicines not available at government dispensary for weeks patients suffering badly,medicines not available government dispensary weeks patients suffering badly,medicine not available government dispensary week patient suffering badly,11,0,0
CMP00098,2022-06-18,Entire road is waterlogged after rain due to blocked drains. Vehicles getting stuck daily.,Roads,Negative,Chennai,4,31,0,app,entire road is waterlogged after rain due to blocked drains vehicles getting stuck daily,entire road waterlogged rain due blocked drains vehicles getting stuck daily,entire road waterlogged rain due blocked drain vehicle getting stuck daily,14,0,0
CMP00099,2023-11-24,School building roof leaking badly during rains. Children sitting in water. Dangerous.,Education,Neutral,Ahmedabad,2,36,0,online,school building roof leaking badly during rains children sitting in water dangerous,school building roof leaking badly rains children sitting water dangerous,school building roof leaking badly rain child sitting water dangerous,12,1,0
